Client_ID,Client_Name,Client_Type,Region,Country,Base_Currency,AUM_USD_M,Cash_Balance_USD_M,Cash_Ratio_Pct,Annual_Revenue_USD_M,Revenue_Bps_AUM,Transaction_Volume_USD_M,Number_of_Accounts,Relationship_Start_Date,Client_Tenure_Years,Risk_Profile,Primary_Service,Secondary_Service,Active_Services,Service_Count,Relationship_Manager,Client_Status
CLT-1015,Nordic Municipal Pension,Pension Fund,Europe,Sweden,EUR,3400.0,139.79,4.11,2.385,7.0,3152.0,4,2018-04-03,7.9,Conservative,Custody,Performance Analytics,Custody;Collateral Management;FX Services;Performance Analytics,4,Alistair Crawford,Active
CLT-1016,Vanguard Heritage Trust,Endowment,North America,United States,USD,1450.0,81.44,5.62,1.889,13.0,3132.8,1,2019-11-20,6.3,Moderate,Performance Analytics,Fund Administration,Fund Administration;Liquidity Management;Performance Analytics,3,Emily Watson,Active
CLT-1017,Ganges Commercial Treasury,Corporate Treasury,Asia-Pacific,India,INR,2200.0,154.86,7.04,2.328,10.6,2250.8,3,2021-06-10,4.7,Moderate,Cash Management,Trade Finance,Cash Management;Trade Finance;FX Services;Fund Administration,4,Rajesh Sharma,Active
CLT-1018,Southern Cross Superannuation,Pension Fund,Asia-Pacific,Australia,USD,5700.0,200.24,3.51,5.162,9.1,13246.4,4,2017-01-28,9.1,Moderate,Custody,Liquidity Management,Fund Administration;Cash Management;Custody;Trade Finance;Liquidity Management,5,Li Wei Tan,Active
CLT-1019,Helvetia Private Wealth,Family Office,Europe,Switzerland,EUR,950.0,39.06,4.11,1.171,12.3,2505.1,3,2022-01-15,4.1,Growth,Fund Administration,FX Services,FX Services;Fund Administration;Cash Management;Custody;Collateral Management,5,Elena Rossi,Active
CLT-1020,Mumbai Growth Equities Fund,Asset Manager,Asia-Pacific,India,INR,1800.0,71.05,3.95,1.787,9.9,2302.0,2,2020-11-05,5.3,Aggressive,Custody,Fund Administration,Custody;Liquidity Management;Fund Administration,3,Rajesh Sharma,Active
CLT-1021,Oasis National Reserve,Sovereign Fund,Middle East,Saudi Arabia,USD,11200.0,816.23,7.29,6.375,5.7,30866.9,3,2016-04-18,9.9,Conservative,Cash Management,Custody,FX Services;Fund Administration;Cash Management;Custody;Performance Analytics,5,Tariq Al-Mansoor,Active
CLT-1022,Emerald Medical Foundation,Foundation,Europe,Ireland,EUR,720.0,52.47,7.29,0.777,10.8,1185.3,3,2021-08-22,4.5,Moderate,Custody,Cash Management,Cash Management;Custody;Liquidity Management,3,Michael Chang,Active
CLT-1023,Silicon Valley Tech Treasury,Corporate Treasury,North America,United States,USD,3500.0,534.3,15.27,3.293,9.4,9766.0,3,2019-05-12,6.8,Growth,Liquidity Management,FX Services,FX Services;Fund Administration;Custody;Collateral Management;Liquidity Management,5,Sarah Jenkins,Active
CLT-1024,Kyoto Endowment Fund,Endowment,Asia-Pacific,Japan,JPY,1600.0,63.74,3.98,1.231,7.7,3052.5,3,2020-02-28,6.0,Moderate,Performance Analytics,Custody,FX Services;Cash Management;Custody;Trade Finance;Performance Analytics,5,Kenji Sato,Active
CLT-1025,Equator Multi-Asset Partners,Asset Manager,Asia-Pacific,Singapore,SGD,2650.0,167.78,6.33,1.529,5.8,6676.1,2,2022-05-19,3.8,Growth,Fund Administration,Collateral Management,Collateral Management;Liquidity Management;Fund Administration,3,Li Wei Tan,Watchlist
