Portfolio_ID,Client_ID,Security_Ticker,Security_Name,Asset_Class,Sector,Country,Currency,Quantity,Purchase_Price,Current_Price,Market_Value_USD_M,Cost_Basis_USD_M,Unrealized_PnL_USD_M,Realized_PnL_USD_M,Weight_Pct,Benchmark,Duration_Years,Credit_Rating,Liquidity_Score
P-104,CLT-1002,USD_TREAS_MMF,Institutional USD Treasury Money Market Fund,Money Market,Cash Equivalents,United States,USD,143610.0,99.19,100.0,14.361,14.245,0.116,0.036,0.69,MSCI World,0.0,N/A,1
P-105,CLT-1002,SHEL_LN,Shell PLC,Equity,Energy,United Kingdom,GBP,6614541.0,74.77,102.33,676.866,494.569,182.297,27.066,24.52,Bloomberg Global Aggregate,0.0,N/A,1
P-105,CLT-1002,USD_TREAS_MMF,Institutional USD Treasury Money Market Fund,Money Market,Cash Equivalents,United States,USD,5971550.0,99.01,100.0,597.155,591.243,5.912,1.843,21.64,Bloomberg Global Aggregate,0.0,N/A,1
P-105,CLT-1002,CORP_HY_USD,US High Yield Corporate Credit Note,Corporate Bonds,Corporate Credit,United States,USD,4854829.0,103.9,99.29,482.036,504.417,-22.381,-8.583,17.47,Bloomberg Global Aggregate,6.7,AA+,3
P-105,CLT-1002,INFRA_GLOBAL_TRUST,Global Infrastructure Core Income Note,Alternatives,Infrastructure,Global,USD,1236989.0,208.36,268.24,331.81,257.739,74.071,20.351,12.02,Bloomberg Global Aggregate,0.0,N/A,3
P-105,CLT-1002,GOOGL,Alphabet Inc.,Equity,Communication,United States,USD,2119068.0,122.55,109.24,231.487,259.692,-28.205,-5.429,8.39,Bloomberg Global Aggregate,0.0,N/A,1
P-105,CLT-1002,JPM,JPMorgan Chase & Co.,Equity,Financials,United States,USD,335128.0,323.57,409.59,137.265,108.437,28.828,10.327,4.97,Bloomberg Global Aggregate,0.0,N/A,1
P-105,CLT-1002,GER_10Y_BUND,Germany Bund 2.60% 2033,Government Bonds,Sovereign Debt,Germany,EUR,1123445.0,106.96,103.69,116.49,120.164,-3.674,-0.642,4.22,Bloomberg Global Aggregate,4.0,BBB+,1
P-105,CLT-1002,ASML_NA,ASML Holding NV,Equity,Technology,Netherlands,EUR,180733.0,385.32,403.65,72.953,69.64,3.313,0.948,2.64,Bloomberg Global Aggregate,0.0,N/A,1
P-105,CLT-1002,MSFT,Microsoft Corp.,Equity,Technology,United States,USD,537784.0,83.4,111.82,60.135,44.851,15.284,5.493,2.18,Bloomberg Global Aggregate,0.0,N/A,1
P-105,CLT-1002,AAPL,Apple Inc.,Equity,Technology,United States,USD,59335.0,345.74,440.48,26.136,20.514,5.622,2.049,0.95,Bloomberg Global Aggregate,0.0,N/A,1
P-105,CLT-1002,INFY_IN,Infosys Ltd.,Equity,Technology,India,INR,344500.0,48.61,59.91,20.639,16.746,3.893,0.777,0.75,Bloomberg Global Aggregate,0.0,N/A,1
P-105,CLT-1002,US_5Y_UST,US Treasury 5-Yr Benchmark Note,Government Bonds,Sovereign Debt,United States,USD,67502.0,98.92,104.1,7.027,6.677,0.35,0.126,0.25,Bloomberg Global Aggregate,7.3,AA,1
P-106,CLT-1003,UNH,UnitedHealth Group,Equity,Healthcare,United States,USD,3356399.0,148.39,189.86,637.246,498.056,139.19,50.303,25.29,Bloomberg Global Aggregate,0.0,N/A,1
P-106,CLT-1003,US_5Y_UST,US Treasury 5-Yr Benchmark Note,Government Bonds,Sovereign Debt,United States,USD,5392792.0,91.92,94.9,511.776,495.705,16.071,3.528,20.31,Bloomberg Global Aggregate,4.8,AAA,1
P-106,CLT-1003,NVDA,NVIDIA Corp.,Equity,Technology,United States,USD,1064960.0,447.36,436.76,465.132,476.421,-11.289,-3.301,18.46,Bloomberg Global Aggregate,0.0,N/A,1
P-106,CLT-1003,CORP_IG_EUR,Euro High Grade Corporate Bond Note,Corporate Bonds,Corporate Credit,Europe,EUR,4227305.0,90.22,97.2,410.894,381.387,29.507,7.697,16.3,Bloomberg Global Aggregate,7.9,AAA,2
P-106,CLT-1003,BHARTIARTL_IN,Bharti Airtel Ltd.,Equity,Communication,India,INR,679240.0,414.81,400.82,272.253,281.756,-9.503,-2.606,10.8,Bloomberg Global Aggregate,0.0,N/A,1
P-106,CLT-1003,ICICIBANK_IN,ICICI Bank Ltd.,Equity,Financials,India,INR,374852.0,526.99,443.42,166.217,197.543,-31.326,-8.739,6.6,Bloomberg Global Aggregate,0.0,N/A,1
P-106,CLT-1003,CORP_IG_USD,US Investment Grade Corporate Bond Fund,Corporate Bonds,Corporate Credit,United States,USD,412457.0,91.89,96.49,39.798,37.901,1.897,0.438,1.58,Bloomberg Global Aggregate,8.1,AAA,2
P-106,CLT-1003,USD_TREAS_MMF,Institutional USD Treasury Money Market Fund,Money Market,Cash Equivalents,United States,USD,169050.0,99.11,100.0,16.905,16.755,0.15,0.041,0.67,Bloomberg Global Aggregate,0.0,N/A,1
P-107,CLT-1003,NVDA,NVIDIA Corp.,Equity,Technology,United States,USD,4293999.0,65.43,77.99,334.889,280.956,53.933,10.736,38.64,Bloomberg Global Aggregate,0.0,N/A,1
P-107,CLT-1003,GER_10Y_BUND,Germany Bund 2.60% 2033,Government Bonds,Sovereign Debt,Germany,EUR,1545483.0,90.75,96.08,148.49,140.253,8.237,2.602,17.13,Bloomberg Global Aggregate,4.9,AA,1
P-107,CLT-1003,AAPL,Apple Inc.,Equity,Technology,United States,USD,294860.0,315.92,316.76,93.4,93.152,0.248,0.077,10.78,Bloomberg Global Aggregate,0.0,N/A,1
P-107,CLT-1003,INR_OVERNIGHT_CASH,Institutional INR Overnight Liquid Fund,Money Market,Cash Equivalents,India,INR,837390.0,98.82,100.0,83.739,82.751,0.988,0.156,9.66,Bloomberg Global Aggregate,0.0,N/A,1
P-107,CLT-1003,EUR_LIQUIDITY_FUND,EUR Institutional Liquidity Master Fund,Money Market,Cash Equivalents,Europe,EUR,746870.0,98.62,100.0,74.687,73.656,1.031,0.22,8.62,Bloomberg Global Aggregate,0.0,N/A,1
P-107,CLT-1003,ICICIBANK_IN,ICICI Bank Ltd.,Equity,Financials,India,INR,179218.0,380.67,349.25,62.592,68.223,-5.631,-1.524,7.22,Bloomberg Global Aggregate,0.0,N/A,1
P-107,CLT-1003,US_10Y_UST,US Treasury 10-Yr Benchmark Note,Government Bonds,Sovereign Debt,United States,USD,617588.0,92.06,97.28,60.079,56.855,3.224,0.616,6.93,Bloomberg Global Aggregate,4.5,BBB+,1
P-107,CLT-1003,PLD_REIT,Prologis Global Logistics REIT,REIT,Real Estate,United States,USD,30014.0,292.53,292.66,8.784,8.78,0.004,0.001,1.01,Bloomberg Global Aggregate,0.0,N/A,2
P-108,CLT-1003,LT_IN,Larsen & Toubro Ltd.,Equity,Industrials,India,INR,3773901.0,144.84,143.95,543.253,546.612,-3.359,-1.149,31.9,S&P 500,0.0,N/A,1
P-108,CLT-1003,USD_TREAS_MMF,Institutional USD Treasury Money Market Fund,Money Market,Cash Equivalents,United States,USD,2118160.0,99.54,100.0,211.816,210.842,0.974,0.111,12.44,S&P 500,0.0,N/A,1
P-108,CLT-1003,CORP_IG_EUR,Euro High Grade Corporate Bond Note,Corporate Bonds,Corporate Credit,Europe,EUR,1938315.0,102.18,104.79,203.116,198.057,5.059,1.672,11.93,S&P 500,5.6,BBB+,2
P-108,CLT-1003,INFY_IN,Infosys Ltd.,Equity,Technology,India,INR,1451374.0,105.6,127.77,185.442,153.265,32.177,7.99,10.89,S&P 500,0.0,N/A,1
P-108,CLT-1003,JPM,JPMorgan Chase & Co.,Equity,Financials,United States,USD,1252842.0,124.3,147.59,184.907,155.728,29.179,2.966,10.86,S&P 500,0.0,N/A,1
P-108,CLT-1003,SAP_GY,SAP SE,Equity,Technology,Germany,EUR,467065.0,280.04,350.39,163.655,130.797,32.858,4.336,9.61,S&P 500,0.0,N/A,1
P-108,CLT-1003,PLD_REIT,Prologis Global Logistics REIT,REIT,Real Estate,United States,USD,698932.0,239.59,220.06,153.807,167.457,-13.65,-5.288,9.03,S&P 500,0.0,N/A,2
P-108,CLT-1003,7203_JP,Toyota Motor Corp.,Equity,Consumer Discretionary,Japan,JPY,107971.0,303.23,257.18,27.768,32.74,-4.972,-0.869,1.63,S&P 500,0.0,N/A,1
P-108,CLT-1003,NVDA,NVIDIA Corp.,Equity,Technology,United States,USD,48902.0,361.96,389.33,19.039,17.701,1.338,0.455,1.12,S&P 500,0.0,N/A,1
P-108,CLT-1003,UK_10Y_GILT,UK Gilt 3.75% 2033,Government Bonds,Sovereign Debt,United Kingdom,GBP,96454.0,93.37,100.68,9.711,9.006,0.705,0.196,0.57,S&P 500,8.0,A,1
P-108,CLT-1003,US_5Y_UST,US Treasury 5-Yr Benchmark Note,Government Bonds,Sovereign Debt,United States,USD,6943.0,96.05,99.96,0.694,0.667,0.027,0.007,0.04,S&P 500,7.4,BBB+,1
P-109,CLT-1003,INFY_IN,Infosys Ltd.,Equity,Technology,India,INR,3336495.0,185.27,225.95,753.881,618.152,135.729,23.121,41.07,Bloomberg Global Aggregate,0.0,N/A,1
P-109,CLT-1003,CORP_IG_EUR,Euro High Grade Corporate Bond Note,Corporate Bonds,Corporate Credit,Europe,EUR,3840718.0,90.49,96.37,370.13,347.547,22.583,2.804,20.16,Bloomberg Global Aggregate,4.2,A,2
P-109,CLT-1003,JGB_10Y,Japan Government Bond 10-Yr 0.8%,Government Bonds,Sovereign Debt,Japan,JPY,1665868.0,97.24,101.02,168.286,161.989,6.297,0.751,9.17,Bloomberg Global Aggregate,5.4,BBB+,1
P-109,CLT-1003,SHEL_LN,Shell PLC,Equity,Energy,United Kingdom,GBP,644481.0,276.5,236.37,152.336,178.199,-25.863,-9.049,8.3,Bloomberg Global Aggregate,0.0,N/A,1
P-109,CLT-1003,AZN_LN,AstraZeneca PLC,Equity,Healthcare,United Kingdom,GBP,724578.0,164.49,205.79,149.111,119.186,29.925,11.486,8.12,Bloomberg Global Aggregate,0.0,N/A,1
P-109,CLT-1003,ASML_NA,ASML Holding NV,Equity,Technology,Netherlands,EUR,2442761.0,44.02,57.81,141.216,107.53,33.686,9.186,7.69,Bloomberg Global Aggregate,0.0,N/A,1
P-109,CLT-1003,CORP_HY_USD,US High Yield Corporate Credit Note,Corporate Bonds,Corporate Credit,United States,USD,475438.0,91.61,98.2,46.688,43.555,3.133,0.594,2.54,Bloomberg Global Aggregate,5.3,A,3
P-109,CLT-1003,EUR_LIQUIDITY_FUND,EUR Institutional Liquidity Master Fund,Money Market,Cash Equivalents,Europe,EUR,291650.0,98.84,100.0,29.165,28.827,0.338,0.108,1.59,Bloomberg Global Aggregate,0.0,N/A,1
P-109,CLT-1003,RELIANCE_IN,Reliance Industries Ltd.,Equity,Energy,India,INR,67296.0,279.68,369.95,24.896,18.821,6.075,1.497,1.36,Bloomberg Global Aggregate,0.0,N/A,1
P-110,CLT-1003,GER_10Y_BUND,Germany Bund 2.60% 2033,Government Bonds,Sovereign Debt,Germany,EUR,971342.0,96.49,103.95,100.971,93.725,7.246,1.886,21.29,Crisil Liquid / MMF,7.8,BBB+,1
P-110,CLT-1003,CORP_HY_USD,US High Yield Corporate Credit Note,Corporate Bonds,Corporate Credit,United States,USD,686481.0,105.26,99.34,68.195,72.259,-4.064,-1.19,14.38,Crisil Liquid / MMF,4.1,A,3
P-110,CLT-1003,MSFT,Microsoft Corp.,Equity,Technology,United States,USD,539433.0,127.05,122.69,66.183,68.535,-2.352,-0.466,13.96,Crisil Liquid / MMF,0.0,N/A,1
P-110,CLT-1003,US_5Y_UST,US Treasury 5-Yr Benchmark Note,Government Bonds,Sovereign Debt,United States,USD,618057.0,99.17,97.91,60.514,61.293,-0.779,-0.283,12.76,Crisil Liquid / MMF,4.8,A,1
P-110,CLT-1003,7203_JP,Toyota Motor Corp.,Equity,Consumer Discretionary,Japan,JPY,382983.0,174.29,150.91,57.796,66.75,-8.954,-0.947,12.19,Crisil Liquid / MMF,0.0,N/A,1
P-110,CLT-1003,IND_10Y_GSEC,India Sovereign G-Sec 7.18% 2033,Government Bonds,Sovereign Debt,India,INR,474275.0,91.68,99.01,46.958,43.482,3.476,0.713,9.9,Crisil Liquid / MMF,6.6,AAA,1
P-110,CLT-1003,INFY_IN,Infosys Ltd.,Equity,Technology,India,INR,108391.0,260.17,351.69,38.12,28.2,9.92,1.585,8.04,Crisil Liquid / MMF,0.0,N/A,1
P-110,CLT-1003,CORP_IG_USD,US Investment Grade Corporate Bond Fund,Corporate Bonds,Corporate Credit,United States,USD,320496.0,95.97,92.26,29.569,30.758,-1.189,-0.164,6.24,Crisil Liquid / MMF,6.6,BBB+,2
P-110,CLT-1003,USD_TREAS_MMF,Institutional USD Treasury Money Market Fund,Money Market,Cash Equivalents,United States,USD,58930.0,98.13,100.0,5.893,5.783,0.11,0.026,1.24,Crisil Liquid / MMF,0.0,N/A,1
P-111,CLT-1004,US_10Y_UST,US Treasury 10-Yr Benchmark Note,Government Bonds,Sovereign Debt,United States,USD,5556287.0,93.23,99.49,552.795,518.013,34.782,7.394,28.35,MSCI World,7.9,AA+,1
P-111,CLT-1004,INFY_IN,Infosys Ltd.,Equity,Technology,India,INR,5026741.0,66.63,80.4,404.15,334.932,69.218,19.947,20.73,MSCI World,0.0,N/A,1
P-111,CLT-1004,XOM,Exxon Mobil Corp.,Equity,Energy,United States,USD,4276917.0,72.46,90.76,388.173,309.905,78.268,27.792,19.91,MSCI World,0.0,N/A,1
P-111,CLT-1004,PLD_REIT,Prologis Global Logistics REIT,REIT,Real Estate,United States,USD,1050393.0,326.83,290.16,304.782,343.3,-38.518,-15.221,15.63,MSCI World,0.0,N/A,2
P-111,CLT-1004,NOVN_SW,Novartis AG,Equity,Healthcare,Switzerland,CHF,567977.0,357.88,363.05,206.204,203.268,2.936,0.671,10.57,MSCI World,0.0,N/A,1
P-111,CLT-1004,UNH,UnitedHealth Group,Equity,Healthcare,United States,USD,314680.0,179.66,198.23,62.379,56.535,5.844,1.183,3.2,MSCI World,0.0,N/A,1
P-111,CLT-1004,MSFT,Microsoft Corp.,Equity,Technology,United States,USD,44758.0,304.43,389.83,17.448,13.626,3.822,0.503,0.89,MSCI World,0.0,N/A,1
P-111,CLT-1004,EUR_LIQUIDITY_FUND,EUR Institutional Liquidity Master Fund,Money Market,Cash Equivalents,Europe,EUR,140680.0,98.11,100.0,14.068,13.802,0.266,0.077,0.72,MSCI World,0.0,N/A,1
P-112,CLT-1005,CORP_IG_USD,US Investment Grade Corporate Bond Fund,Corporate Bonds,Corporate Credit,United States,USD,13761640.0,90.15,95.49,1314.099,1240.612,73.487,25.663,20.33,Bloomberg Global Aggregate,3.9,A,2
P-112,CLT-1005,HDFCBANK_IN,HDFC Bank Ltd.,Equity,Financials,India,INR,7483348.0,136.59,147.55,1104.168,1022.151,82.017,23.219,17.08,Bloomberg Global Aggregate,0.0,N/A,1
P-112,CLT-1005,GER_10Y_BUND,Germany Bund 2.60% 2033,Government Bonds,Sovereign Debt,Germany,EUR,10475849.0,102.68,96.93,1015.424,1075.66,-60.236,-21.401,15.71,Bloomberg Global Aggregate,4.4,AA+,1
P-112,CLT-1005,TCS_IN,Tata Consultancy Services,Equity,Technology,India,INR,4257417.0,198.96,191.93,817.126,847.056,-29.93,-5.504,12.64,Bloomberg Global Aggregate,0.0,N/A,1
P-112,CLT-1005,INR_OVERNIGHT_CASH,Institutional INR Overnight Liquid Fund,Money Market,Cash Equivalents,India,INR,8057830.0,98.74,100.0,805.783,795.63,10.153,3.696,12.47,Bloomberg Global Aggregate,0.0,N/A,1
P-112,CLT-1005,ASML_NA,ASML Holding NV,Equity,Technology,Netherlands,EUR,1823924.0,245.49,272.32,496.691,447.755,48.936,7.698,7.68,Bloomberg Global Aggregate,0.0,N/A,1
P-112,CLT-1005,CORP_IG_EUR,Euro High Grade Corporate Bond Note,Corporate Bonds,Corporate Credit,Europe,EUR,4032426.0,95.44,95.14,383.645,384.855,-1.21,-0.323,5.94,Bloomberg Global Aggregate,4.6,A,2
P-112,CLT-1005,INFRA_GLOBAL_TRUST,Global Infrastructure Core Income Note,Alternatives,Infrastructure,Global,USD,549183.0,281.64,308.36,169.346,154.672,14.674,4.958,2.62,Bloomberg Global Aggregate,0.0,N/A,3
P-112,CLT-1005,LT_IN,Larsen & Toubro Ltd.,Equity,Industrials,India,INR,1474364.0,92.38,87.22,128.594,136.202,-7.608,-2.34,1.99,Bloomberg Global Aggregate,0.0,N/A,1
P-112,CLT-1005,UK_10Y_GILT,UK Gilt 3.75% 2033,Government Bonds,Sovereign Debt,United Kingdom,GBP,1064878.0,93.97,95.98,102.207,100.067,2.14,0.518,1.58,Bloomberg Global Aggregate,6.0,A,1
P-112,CLT-1005,US_10Y_UST,US Treasury 10-Yr Benchmark Note,Government Bonds,Sovereign Debt,United States,USD,829059.0,103.2,104.96,87.018,85.559,1.459,0.3,1.35,Bloomberg Global Aggregate,5.6,AA,1
P-112,CLT-1005,SAP_GY,SAP SE,Equity,Technology,Germany,EUR,263344.0,169.63,150.56,39.649,44.671,-5.022,-0.792,0.61,Bloomberg Global Aggregate,0.0,N/A,1
P-113,CLT-1005,EUR_LIQUIDITY_FUND,EUR Institutional Liquidity Master Fund,Money Market,Cash Equivalents,Europe,EUR,3371810.0,98.52,100.0,337.181,332.191,4.99,1.961,43.32,Bloomberg Global Aggregate,0.0,N/A,1
P-113,CLT-1005,TCS_IN,Tata Consultancy Services,Equity,Technology,India,INR,944068.0,265.57,259.85,245.316,250.716,-5.4,-0.703,31.52,Bloomberg Global Aggregate,0.0,N/A,1
P-113,CLT-1005,ICICIBANK_IN,ICICI Bank Ltd.,Equity,Financials,India,INR,649855.0,134.74,127.65,82.954,87.561,-4.607,-0.709,10.66,Bloomberg Global Aggregate,0.0,N/A,1
P-113,CLT-1005,LT_IN,Larsen & Toubro Ltd.,Equity,Industrials,India,INR,1023985.0,49.74,55.66,56.995,50.933,6.062,1.105,7.32,Bloomberg Global Aggregate,0.0,N/A,1
P-113,CLT-1005,CORP_IG_EUR,Euro High Grade Corporate Bond Note,Corporate Bonds,Corporate Credit,Europe,EUR,368033.0,102.87,104.67,38.522,37.86,0.662,0.205,4.95,Bloomberg Global Aggregate,4.1,A,2
P-113,CLT-1005,ASML_NA,ASML Holding NV,Equity,Technology,Netherlands,EUR,190707.0,110.1,91.04,17.362,20.997,-3.635,-0.674,2.23,Bloomberg Global Aggregate,0.0,N/A,1
P-114,CLT-1005,JGB_10Y,Japan Government Bond 10-Yr 0.8%,Government Bonds,Sovereign Debt,Japan,JPY,4646011.0,96.39,98.39,457.121,447.829,9.292,2.843,31.88,MSCI World,4.2,BBB+,1
P-114,CLT-1005,7203_JP,Toyota Motor Corp.,Equity,Consumer Discretionary,Japan,JPY,732552.0,495.16,429.65,314.741,362.73,-47.989,-8.372,21.95,MSCI World,0.0,N/A,1
P-114,CLT-1005,TCS_IN,Tata Consultancy Services,Equity,Technology,India,INR,995608.0,259.46,273.23,272.03,258.32,13.71,3.823,18.97,MSCI World,0.0,N/A,1
P-114,CLT-1005,GOOGL,Alphabet Inc.,Equity,Communication,United States,USD,383818.0,237.06,297.37,114.136,90.988,23.148,4.956,7.96,MSCI World,0.0,N/A,1
P-114,CLT-1005,SHEL_LN,Shell PLC,Equity,Energy,United Kingdom,GBP,208657.0,419.05,413.4,86.259,87.438,-1.179,-0.326,6.02,MSCI World,0.0,N/A,1
P-114,CLT-1005,CORP_IG_EUR,Euro High Grade Corporate Bond Note,Corporate Bonds,Corporate Credit,Europe,EUR,674029.0,95.69,97.57,65.765,64.498,1.267,0.15,4.59,MSCI World,8.0,AAA,2
P-114,CLT-1005,XOM,Exxon Mobil Corp.,Equity,Energy,United States,USD,145273.0,458.2,429.04,62.328,66.564,-4.236,-0.692,4.35,MSCI World,0.0,N/A,1
P-114,CLT-1005,AMZN,Amazon.com Inc.,Equity,Consumer Discretionary,United States,USD,127641.0,346.02,314.17,40.101,44.166,-4.065,-0.618,2.8,MSCI World,0.0,N/A,1
P-114,CLT-1005,ICICIBANK_IN,ICICI Bank Ltd.,Equity,Financials,India,INR,254717.0,97.42,80.03,20.385,24.815,-4.43,-1.042,1.42,MSCI World,0.0,N/A,1
P-114,CLT-1005,USD_TREAS_MMF,Institutional USD Treasury Money Market Fund,Money Market,Cash Equivalents,United States,USD,11140.0,98.75,100.0,1.114,1.1,0.014,0.003,0.08,MSCI World,0.0,N/A,1
P-115,CLT-1005,SAP_GY,SAP SE,Equity,Technology,Germany,EUR,5858180.0,195.62,220.06,1289.151,1145.977,143.174,42.135,33.71,Bloomberg Global Aggregate,0.0,N/A,1
P-115,CLT-1005,INFRA_GLOBAL_TRUST,Global Infrastructure Core Income Note,Alternatives,Infrastructure,Global,USD,2868896.0,322.2,413.36,1185.887,924.358,261.529,31.756,31.01,Bloomberg Global Aggregate,0.0,N/A,3
P-115,CLT-1005,CORP_IG_USD,US Investment Grade Corporate Bond Fund,Corporate Bonds,Corporate Credit,United States,USD,4658932.0,95.78,94.16,438.685,446.233,-7.548,-2.451,11.47,Bloomberg Global Aggregate,6.2,AA,2
P-115,CLT-1005,AMZN,Amazon.com Inc.,Equity,Consumer Discretionary,United States,USD,1171209.0,208.47,225.66,264.295,244.162,20.133,3.85,6.91,Bloomberg Global Aggregate,0.0,N/A,1
P-115,CLT-1005,BHARTIARTL_IN,Bharti Airtel Ltd.,Equity,Communication,India,INR,1177592.0,216.98,211.0,248.472,255.514,-7.042,-1.845,6.5,Bloomberg Global Aggregate,0.0,N/A,1
P-115,CLT-1005,SHEL_LN,Shell PLC,Equity,Energy,United Kingdom,GBP,725509.0,194.91,225.1,163.312,141.409,21.903,8.035,4.27,Bloomberg Global Aggregate,0.0,N/A,1
