Date,Portfolio_ID,Client_ID,Ending_NAV_USD_M,Monthly_Return,Benchmark_Monthly_Return,Net_Cash_Flow_USD_M,Benchmark
2024-07-31,P-101,CLT-1001,594.752,0.05238,0.04651,0.0,Bloomberg Global Aggregate
2024-08-31,P-101,CLT-1001,593.499,-0.00211,-0.00929,0.0,Bloomberg Global Aggregate
2024-09-30,P-101,CLT-1001,604.468,0.01848,0.02507,0.0,Bloomberg Global Aggregate
2024-10-31,P-101,CLT-1001,627.587,0.03825,0.03358,0.0,Bloomberg Global Aggregate
2024-11-30,P-101,CLT-1001,619.167,-0.01342,-0.02629,0.0,Bloomberg Global Aggregate
2024-12-31,P-101,CLT-1001,625.796,0.01071,0.00455,0.0,Bloomberg Global Aggregate
2025-01-31,P-101,CLT-1001,617.101,-0.01389,-0.00654,0.0,Bloomberg Global Aggregate
2025-02-28,P-101,CLT-1001,612.955,-0.00672,-0.00807,0.0,Bloomberg Global Aggregate
2025-03-31,P-101,CLT-1001,624.422,0.01871,0.01359,0.0,Bloomberg Global Aggregate
2025-04-30,P-101,CLT-1001,616.026,-0.01345,-0.00852,46.36,Bloomberg Global Aggregate
2025-05-31,P-101,CLT-1001,605.926,-0.0164,-0.00614,0.0,Bloomberg Global Aggregate
2025-06-30,P-101,CLT-1001,605.321,-0.001,1e-05,23.4,Bloomberg Global Aggregate
2025-07-31,P-101,CLT-1001,600.105,-0.00862,-0.00384,0.0,Bloomberg Global Aggregate
2025-08-31,P-101,CLT-1001,589.791,-0.01719,-0.01885,0.0,Bloomberg Global Aggregate
2025-09-30,P-101,CLT-1001,593.198,0.00578,0.0181,0.0,Bloomberg Global Aggregate
2025-10-31,P-101,CLT-1001,610.783,0.02964,0.02284,0.0,Bloomberg Global Aggregate
2025-11-30,P-101,CLT-1001,614.312,0.00578,0.00961,0.0,Bloomberg Global Aggregate
2025-12-31,P-101,CLT-1001,618.445,0.00673,-0.0039,0.0,Bloomberg Global Aggregate
2026-01-31,P-101,CLT-1001,611.81,-0.01073,-0.01007,0.0,Bloomberg Global Aggregate
2026-02-28,P-101,CLT-1001,606.63,-0.00847,-0.01004,0.0,Bloomberg Global Aggregate
2021-01-31,P-102,CLT-1001,4163.048,0.00939,0.01155,0.0,Bloomberg Global Aggregate
2021-02-28,P-102,CLT-1001,4124.239,-0.00932,-0.00084,134.79,Bloomberg Global Aggregate
2021-03-31,P-102,CLT-1001,4349.837,0.0547,0.02435,0.0,Bloomberg Global Aggregate
2021-04-30,P-102,CLT-1001,4330.408,-0.00447,0.00166,0.0,Bloomberg Global Aggregate
2021-05-31,P-102,CLT-1001,4360.629,0.00698,-0.00557,0.0,Bloomberg Global Aggregate
2021-06-30,P-102,CLT-1001,4388.239,0.00633,0.0198,0.0,Bloomberg Global Aggregate
2021-07-31,P-102,CLT-1001,4306.363,-0.01866,-0.0232,0.0,Bloomberg Global Aggregate
2021-08-31,P-102,CLT-1001,4385.691,0.01842,0.01257,0.0,Bloomberg Global Aggregate
2021-09-30,P-102,CLT-1001,4312.351,-0.01672,-0.01639,0.0,Bloomberg Global Aggregate
2021-10-31,P-102,CLT-1001,4399.02,0.0201,0.02715,0.0,Bloomberg Global Aggregate
2021-11-30,P-102,CLT-1001,4377.034,-0.005,-0.00173,0.0,Bloomberg Global Aggregate
2021-12-31,P-102,CLT-1001,4380.153,0.00071,0.0057,0.0,Bloomberg Global Aggregate
2022-01-31,P-102,CLT-1001,4491.378,0.02539,-0.00409,0.0,Bloomberg Global Aggregate
2022-02-28,P-102,CLT-1001,4274.217,-0.04835,-0.04804,0.0,Bloomberg Global Aggregate
2022-03-31,P-102,CLT-1001,4198.897,-0.01762,-0.02404,-304.47,Bloomberg Global Aggregate
2022-04-30,P-102,CLT-1001,4323.222,0.02961,0.00775,0.0,Bloomberg Global Aggregate
2022-05-31,P-102,CLT-1001,4295.769,-0.00635,0.00445,-203.56,Bloomberg Global Aggregate
2022-06-30,P-102,CLT-1001,4269.604,-0.00609,-0.00652,0.0,Bloomberg Global Aggregate
2022-07-31,P-102,CLT-1001,4096.713,-0.04049,-0.03715,0.0,Bloomberg Global Aggregate
2022-08-31,P-102,CLT-1001,4088.779,-0.00194,-0.00085,0.0,Bloomberg Global Aggregate
2022-09-30,P-102,CLT-1001,4086.007,-0.00068,0.00155,0.0,Bloomberg Global Aggregate
2022-10-31,P-102,CLT-1001,4004.386,-0.01998,-0.01095,0.0,Bloomberg Global Aggregate
2022-11-30,P-102,CLT-1001,4058.398,0.01349,0.01112,0.0,Bloomberg Global Aggregate
2022-12-31,P-102,CLT-1001,3905.21,-0.03775,-0.02466,0.0,Bloomberg Global Aggregate
2023-01-31,P-102,CLT-1001,3927.548,0.00572,-0.0064,193.73,Bloomberg Global Aggregate
2023-02-28,P-102,CLT-1001,3786.839,-0.03583,-0.04345,0.0,Bloomberg Global Aggregate
2023-03-31,P-102,CLT-1001,3841.109,0.01433,0.02043,0.0,Bloomberg Global Aggregate
2023-04-30,P-102,CLT-1001,3854.771,0.00356,0.00906,0.0,Bloomberg Global Aggregate
2023-05-31,P-102,CLT-1001,3758.261,-0.02504,-0.02839,0.0,Bloomberg Global Aggregate
2023-06-30,P-102,CLT-1001,3609.152,-0.03968,-0.02983,0.0,Bloomberg Global Aggregate
2023-07-31,P-102,CLT-1001,3641.732,0.00903,-0.01321,0.0,Bloomberg Global Aggregate
2023-08-31,P-102,CLT-1001,3723.401,0.02243,0.01806,0.0,Bloomberg Global Aggregate
2023-09-30,P-102,CLT-1001,3732.084,0.00233,-0.00247,0.0,Bloomberg Global Aggregate
2023-10-31,P-102,CLT-1001,3718.679,-0.00359,-0.01193,-160.62,Bloomberg Global Aggregate
2023-11-30,P-102,CLT-1001,3633.656,-0.02286,-0.01571,0.0,Bloomberg Global Aggregate
2023-12-31,P-102,CLT-1001,3622.022,-0.0032,-0.01655,0.0,Bloomberg Global Aggregate
2024-01-31,P-102,CLT-1001,3507.057,-0.03174,-0.03312,0.0,Bloomberg Global Aggregate
2024-02-29,P-102,CLT-1001,3479.546,-0.00784,-0.01949,0.0,Bloomberg Global Aggregate
2024-03-31,P-102,CLT-1001,3412.094,-0.01939,-0.01692,0.0,Bloomberg Global Aggregate
2024-04-30,P-102,CLT-1001,3521.728,0.03213,0.01598,0.0,Bloomberg Global Aggregate
2024-05-31,P-102,CLT-1001,3539.187,0.00496,6e-05,0.0,Bloomberg Global Aggregate
2024-06-30,P-102,CLT-1001,3590.374,0.01446,-0.01232,0.0,Bloomberg Global Aggregate
2024-07-31,P-102,CLT-1001,3740.934,0.04193,0.04651,-181.23,Bloomberg Global Aggregate
2024-08-31,P-102,CLT-1001,3715.465,-0.00681,-0.00929,0.0,Bloomberg Global Aggregate
2024-09-30,P-102,CLT-1001,3761.384,0.01236,0.02507,0.0,Bloomberg Global Aggregate
2024-10-31,P-102,CLT-1001,3863.128,0.02705,0.03358,0.0,Bloomberg Global Aggregate
2024-11-30,P-102,CLT-1001,3790.808,-0.01872,-0.02629,0.0,Bloomberg Global Aggregate
2024-12-31,P-102,CLT-1001,3860.561,0.0184,0.00455,0.0,Bloomberg Global Aggregate
2025-01-31,P-102,CLT-1001,3975.832,0.02986,-0.00654,0.0,Bloomberg Global Aggregate
2025-02-28,P-102,CLT-1001,3938.896,-0.00929,-0.00807,0.0,Bloomberg Global Aggregate
2025-03-31,P-102,CLT-1001,3947.125,0.00209,0.01359,0.0,Bloomberg Global Aggregate
2025-04-30,P-102,CLT-1001,3949.908,0.0007,-0.00852,0.0,Bloomberg Global Aggregate
2025-05-31,P-102,CLT-1001,3870.793,-0.02003,-0.00614,0.0,Bloomberg Global Aggregate
2025-06-30,P-102,CLT-1001,3897.559,0.00691,1e-05,0.0,Bloomberg Global Aggregate
2025-07-31,P-102,CLT-1001,3858.417,-0.01004,-0.00384,0.0,Bloomberg Global Aggregate
2025-08-31,P-102,CLT-1001,3795.582,-0.01629,-0.01885,0.0,Bloomberg Global Aggregate
2025-09-30,P-102,CLT-1001,3915.054,0.03148,0.0181,0.0,Bloomberg Global Aggregate
2025-10-31,P-102,CLT-1001,3999.029,0.02145,0.02284,0.0,Bloomberg Global Aggregate
2025-11-30,P-102,CLT-1001,4083.194,0.02105,0.00961,0.0,Bloomberg Global Aggregate
2025-12-31,P-102,CLT-1001,4110.957,0.0068,-0.0039,0.0,Bloomberg Global Aggregate
2026-01-31,P-102,CLT-1001,3975.271,-0.03301,-0.01007,213.42,Bloomberg Global Aggregate
2026-02-28,P-102,CLT-1001,3891.21,-0.02115,-0.01004,0.0,Bloomberg Global Aggregate
2021-01-31,P-103,CLT-1001,1223.237,0.0504,0.06903,0.0,S&P 500
2021-02-28,P-103,CLT-1001,1238.685,0.01263,-0.01095,0.0,S&P 500
2021-03-31,P-103,CLT-1001,1224.399,-0.01153,-0.01016,0.0,S&P 500
2021-04-30,P-103,CLT-1001,1230.55,0.00502,-0.01594,0.0,S&P 500
2021-05-31,P-103,CLT-1001,1273.169,0.03463,0.0541,0.0,S&P 500
2021-06-30,P-103,CLT-1001,1333.822,0.04764,0.05455,0.0,S&P 500
2021-07-31,P-103,CLT-1001,1444.463,0.08295,0.0736,0.0,S&P 500
2021-08-31,P-103,CLT-1001,1528.481,0.05817,0.05617,0.0,S&P 500
2021-09-30,P-103,CLT-1001,1437.351,-0.05962,-0.06581,0.0,S&P 500
2021-10-31,P-103,CLT-1001,1448.251,0.00758,0.02256,0.0,S&P 500
2021-11-30,P-103,CLT-1001,1414.766,-0.02312,-0.0393,0.0,S&P 500
2021-12-31,P-103,CLT-1001,1407.649,-0.00503,-0.01411,83.94,S&P 500
2022-01-31,P-103,CLT-1001,1417.634,0.00709,0.00246,0.0,S&P 500
2022-02-28,P-103,CLT-1001,1452.974,0.02493,0.03318,0.0,S&P 500
2022-03-31,P-103,CLT-1001,1390.708,-0.04285,-0.04656,0.0,S&P 500
2022-04-30,P-103,CLT-1001,1228.871,-0.11637,-0.11279,0.0,S&P 500
2022-05-31,P-103,CLT-1001,1208.283,-0.01675,0.00292,0.0,S&P 500
2022-06-30,P-103,CLT-1001,1348.397,0.11596,0.11668,0.0,S&P 500
2022-07-31,P-103,CLT-1001,1325.786,-0.01677,-0.01479,0.0,S&P 500
2022-08-31,P-103,CLT-1001,1337.992,0.00921,-0.00325,-54.31,S&P 500
2022-09-30,P-103,CLT-1001,1405.302,0.05031,0.0769,0.0,S&P 500
2022-10-31,P-103,CLT-1001,1439.74,0.02451,0.02185,0.0,S&P 500
2022-11-30,P-103,CLT-1001,1426.475,-0.00921,0.0046,0.0,S&P 500
2022-12-31,P-103,CLT-1001,1453.09,0.01866,0.015,0.0,S&P 500
2023-01-31,P-103,CLT-1001,1490.069,0.02545,0.02114,0.0,S&P 500
2023-02-28,P-103,CLT-1001,1424.185,-0.04421,-0.04306,0.0,S&P 500
2023-03-31,P-103,CLT-1001,1363.03,-0.04294,-0.05238,0.0,S&P 500
2023-04-30,P-103,CLT-1001,1474.595,0.08185,0.09673,0.0,S&P 500
2023-05-31,P-103,CLT-1001,1520.411,0.03107,0.01808,0.0,S&P 500
2023-06-30,P-103,CLT-1001,1529.067,0.00569,0.01421,0.0,S&P 500
2023-07-31,P-103,CLT-1001,1508.976,-0.01314,0.00542,0.0,S&P 500
2023-08-31,P-103,CLT-1001,1572.816,0.04231,0.04566,0.0,S&P 500
2023-09-30,P-103,CLT-1001,1733.084,0.1019,0.12684,0.0,S&P 500
2023-10-31,P-103,CLT-1001,1796.631,0.03667,0.03378,0.0,S&P 500
2023-11-30,P-103,CLT-1001,1759.304,-0.02078,-0.01758,0.0,S&P 500
2023-12-31,P-103,CLT-1001,1790.808,0.01791,0.00342,0.0,S&P 500
2024-01-31,P-103,CLT-1001,1910.093,0.06661,0.05905,0.0,S&P 500
2024-02-29,P-103,CLT-1001,1845.248,-0.03395,-0.01734,0.0,S&P 500
2024-03-31,P-103,CLT-1001,1917.01,0.03889,0.04895,0.0,S&P 500
2024-04-30,P-103,CLT-1001,1741.476,-0.09157,-0.09761,0.0,S&P 500
2024-05-31,P-103,CLT-1001,1756.926,0.00887,-0.00103,0.0,S&P 500
2024-06-30,P-103,CLT-1001,1849.953,0.05295,0.0386,0.0,S&P 500
2024-07-31,P-103,CLT-1001,2002.586,0.08251,0.06825,0.0,S&P 500
2024-08-31,P-103,CLT-1001,1943.695,-0.02941,-0.02822,0.0,S&P 500
2024-09-30,P-103,CLT-1001,1835.513,-0.05566,-0.05983,0.0,S&P 500
2024-10-31,P-103,CLT-1001,1859.001,0.0128,-0.00246,0.0,S&P 500
2024-11-30,P-103,CLT-1001,1773.27,-0.04612,-0.0424,0.0,S&P 500
2024-12-31,P-103,CLT-1001,1785.808,0.00707,0.0027,-128.55,S&P 500
2025-01-31,P-103,CLT-1001,1795.233,0.00528,0.00928,0.0,S&P 500
2025-02-28,P-103,CLT-1001,1691.114,-0.058,-0.05135,0.0,S&P 500
2025-03-31,P-103,CLT-1001,1770.91,0.04719,0.04674,-88.6,S&P 500
2025-04-30,P-103,CLT-1001,1760.376,-0.00595,0.00232,0.0,S&P 500
2025-05-31,P-103,CLT-1001,1862.144,0.05781,0.05949,0.0,S&P 500
2025-06-30,P-103,CLT-1001,1698.25,-0.08801,-0.07563,0.0,S&P 500
2025-07-31,P-103,CLT-1001,1630.7,-0.03978,-0.0374,-46.05,S&P 500
2025-08-31,P-103,CLT-1001,1693.697,0.03863,0.03345,0.0,S&P 500
2025-09-30,P-103,CLT-1001,1635.39,-0.03443,-0.02733,0.0,S&P 500
2025-10-31,P-103,CLT-1001,1638.607,0.00197,0.00198,0.0,S&P 500
2025-11-30,P-103,CLT-1001,1656.86,0.01114,0.00962,0.0,S&P 500
2025-12-31,P-103,CLT-1001,1693.519,0.02213,0.01689,0.0,S&P 500
2026-01-31,P-103,CLT-1001,1653.856,-0.02342,-0.02171,0.0,S&P 500
2026-02-28,P-103,CLT-1001,1702.17,0.02921,0.01648,0.0,S&P 500
2021-01-31,P-104,CLT-1002,1415.816,-0.0825,-0.06004,0.0,MSCI World
2021-02-28,P-104,CLT-1002,1498.739,0.05857,0.03127,0.0,MSCI World
2021-03-31,P-104,CLT-1002,1621.339,0.0818,0.09212,0.0,MSCI World
2021-04-30,P-104,CLT-1002,1686.965,0.04048,0.0382,54.93,MSCI World
2021-05-31,P-104,CLT-1002,1649.094,-0.02245,-0.01147,0.0,MSCI World
2021-06-30,P-104,CLT-1002,1706.606,0.03488,0.03022,0.0,MSCI World
2021-07-31,P-104,CLT-1002,1838.048,0.07702,0.076,0.0,MSCI World
2021-08-31,P-104,CLT-1002,1958.932,0.06577,0.0739,0.0,MSCI World
2021-09-30,P-104,CLT-1002,1910.034,-0.02496,-0.03385,0.0,MSCI World
2021-10-31,P-104,CLT-1002,1960.071,0.0262,0.02953,0.0,MSCI World
2021-11-30,P-104,CLT-1002,1970.347,0.00524,0.00155,0.0,MSCI World
2021-12-31,P-104,CLT-1002,2031.744,0.03116,0.04193,0.0,MSCI World
2022-01-31,P-104,CLT-1002,2046.39,0.00721,0.00922,0.0,MSCI World
2022-02-28,P-104,CLT-1002,1866.41,-0.08795,-0.10602,0.0,MSCI World
2022-03-31,P-104,CLT-1002,1841.025,-0.0136,-0.0214,-117.53,MSCI World
2022-04-30,P-104,CLT-1002,1846.189,0.00281,0.00148,0.0,MSCI World
2022-05-31,P-104,CLT-1002,1711.387,-0.07302,-0.06687,0.0,MSCI World
2022-06-30,P-104,CLT-1002,1739.527,0.01644,0.01749,0.0,MSCI World
2022-07-31,P-104,CLT-1002,1617.091,-0.07038,-0.07063,0.0,MSCI World
2022-08-31,P-104,CLT-1002,1556.404,-0.03753,-0.04025,-89.65,MSCI World
2022-09-30,P-104,CLT-1002,1613.941,0.03697,0.04931,0.0,MSCI World
2022-10-31,P-104,CLT-1002,1551.101,-0.03894,-0.04383,0.0,MSCI World
2022-11-30,P-104,CLT-1002,1558.423,0.00472,0.01719,0.0,MSCI World
2022-12-31,P-104,CLT-1002,1455.822,-0.06584,-0.08023,0.0,MSCI World
2023-01-31,P-104,CLT-1002,1580.958,0.08596,0.09529,0.0,MSCI World
2023-02-28,P-104,CLT-1002,1575.642,-0.00336,-0.00458,0.0,MSCI World
2023-03-31,P-104,CLT-1002,1607.742,0.02037,0.01216,0.0,MSCI World
2023-04-30,P-104,CLT-1002,1626.163,0.01146,0.01566,0.0,MSCI World
2023-05-31,P-104,CLT-1002,1683.487,0.03525,0.0336,0.0,MSCI World
2023-06-30,P-104,CLT-1002,1611.165,-0.04296,-0.05542,0.0,MSCI World
2023-07-31,P-104,CLT-1002,1630.187,0.01181,0.00794,0.0,MSCI World
2023-08-31,P-104,CLT-1002,1601.484,-0.01761,-0.01941,0.0,MSCI World
2023-09-30,P-104,CLT-1002,1471.918,-0.0809,-0.06255,0.0,MSCI World
2023-10-31,P-104,CLT-1002,1528.666,0.03855,0.04949,0.0,MSCI World
2023-11-30,P-104,CLT-1002,1531.806,0.00205,-0.00657,0.0,MSCI World
2023-12-31,P-104,CLT-1002,1565.868,0.02224,0.01832,0.0,MSCI World
2024-01-31,P-104,CLT-1002,1598.922,0.02111,0.01569,0.0,MSCI World
2024-02-29,P-104,CLT-1002,1596.867,-0.00129,-0.00585,0.0,MSCI World
2024-03-31,P-104,CLT-1002,1759.53,0.10186,0.09084,0.0,MSCI World
2024-04-30,P-104,CLT-1002,1762.867,0.0019,0.00619,0.0,MSCI World
2024-05-31,P-104,CLT-1002,1661.385,-0.05757,-0.05705,0.0,MSCI World
2024-06-30,P-104,CLT-1002,1627.389,-0.02046,-0.00859,0.0,MSCI World
2024-07-31,P-104,CLT-1002,1651.398,0.01475,0.02908,0.0,MSCI World
2024-08-31,P-104,CLT-1002,1672.067,0.01252,0.03046,0.0,MSCI World
2024-09-30,P-104,CLT-1002,1592.112,-0.04782,-0.03737,0.0,MSCI World
2024-10-31,P-104,CLT-1002,1688.746,0.0607,0.04707,0.0,MSCI World
2024-11-30,P-104,CLT-1002,1549.14,-0.08267,-0.06562,0.0,MSCI World
2024-12-31,P-104,CLT-1002,1628.688,0.05135,0.05606,0.0,MSCI World
2025-01-31,P-104,CLT-1002,1528.459,-0.06154,-0.04706,0.0,MSCI World
2025-02-28,P-104,CLT-1002,1514.78,-0.00895,-0.0013,0.0,MSCI World
2025-03-31,P-104,CLT-1002,1594.598,0.05269,0.05273,105.68,MSCI World
2025-04-30,P-104,CLT-1002,1601.851,0.00455,0.01317,0.0,MSCI World
2025-05-31,P-104,CLT-1002,1684.19,0.0514,0.04235,0.0,MSCI World
2025-06-30,P-104,CLT-1002,1764.191,0.0475,0.03406,-104.46,MSCI World
2025-07-31,P-104,CLT-1002,1831.381,0.03808,0.06201,-82.42,MSCI World
2025-08-31,P-104,CLT-1002,1912.278,0.04417,0.05263,0.0,MSCI World
2025-09-30,P-104,CLT-1002,1889.421,-0.01195,-0.01083,0.0,MSCI World
2025-10-31,P-104,CLT-1002,1972.69,0.04407,0.03466,0.0,MSCI World
2025-11-30,P-104,CLT-1002,1850.525,-0.06193,-0.05573,0.0,MSCI World
2025-12-31,P-104,CLT-1002,1857.623,0.00384,0.00574,0.0,MSCI World
2026-01-31,P-104,CLT-1002,1912.037,0.02929,0.04243,0.0,MSCI World
2026-02-28,P-104,CLT-1002,1906.15,-0.00308,0.01377,0.0,MSCI World
2021-01-31,P-105,CLT-1002,2629.869,0.03139,0.01155,0.0,Bloomberg Global Aggregate
2021-02-28,P-105,CLT-1002,2579.916,-0.01899,-0.00084,0.0,Bloomberg Global Aggregate
2021-03-31,P-105,CLT-1002,2720.437,0.05447,0.02435,0.0,Bloomberg Global Aggregate
2021-04-30,P-105,CLT-1002,2756.164,0.01313,0.00166,0.0,Bloomberg Global Aggregate
2021-05-31,P-105,CLT-1002,2770.999,0.00538,-0.00557,-102.42,Bloomberg Global Aggregate
2021-06-30,P-105,CLT-1002,2852.844,0.02954,0.0198,0.0,Bloomberg Global Aggregate
2021-07-31,P-105,CLT-1002,2786.966,-0.02309,-0.0232,0.0,Bloomberg Global Aggregate
2021-08-31,P-105,CLT-1002,2843.182,0.02017,0.01257,0.0,Bloomberg Global Aggregate
2021-09-30,P-105,CLT-1002,2798.985,-0.01555,-0.01639,0.0,Bloomberg Global Aggregate
2021-10-31,P-105,CLT-1002,2901.484,0.03662,0.02715,0.0,Bloomberg Global Aggregate
2021-11-30,P-105,CLT-1002,2904.16,0.00092,-0.00173,0.0,Bloomberg Global Aggregate
2021-12-31,P-105,CLT-1002,2897.471,-0.0023,0.0057,0.0,Bloomberg Global Aggregate
2022-01-31,P-105,CLT-1002,2865.115,-0.01117,-0.00409,0.0,Bloomberg Global Aggregate
2022-02-28,P-105,CLT-1002,2703.412,-0.05644,-0.04804,0.0,Bloomberg Global Aggregate
2022-03-31,P-105,CLT-1002,2677.164,-0.00971,-0.02404,0.0,Bloomberg Global Aggregate
2022-04-30,P-105,CLT-1002,2686.842,0.00362,0.00775,0.0,Bloomberg Global Aggregate
2022-05-31,P-105,CLT-1002,2647.256,-0.01473,0.00445,0.0,Bloomberg Global Aggregate
2022-06-30,P-105,CLT-1002,2650.263,0.00114,-0.00652,0.0,Bloomberg Global Aggregate
2022-07-31,P-105,CLT-1002,2606.524,-0.0165,-0.03715,0.0,Bloomberg Global Aggregate
2022-08-31,P-105,CLT-1002,2635.679,0.01119,-0.00085,-196.13,Bloomberg Global Aggregate
2022-09-30,P-105,CLT-1002,2629.312,-0.00242,0.00155,0.0,Bloomberg Global Aggregate
2022-10-31,P-105,CLT-1002,2560.023,-0.02635,-0.01095,0.0,Bloomberg Global Aggregate
2022-11-30,P-105,CLT-1002,2592.286,0.0126,0.01112,0.0,Bloomberg Global Aggregate
2022-12-31,P-105,CLT-1002,2531.463,-0.02346,-0.02466,-160.53,Bloomberg Global Aggregate
2023-01-31,P-105,CLT-1002,2494.448,-0.01462,-0.0064,146.32,Bloomberg Global Aggregate
2023-02-28,P-105,CLT-1002,2409.628,-0.034,-0.04345,0.0,Bloomberg Global Aggregate
2023-03-31,P-105,CLT-1002,2517.912,0.04494,0.02043,0.0,Bloomberg Global Aggregate
2023-04-30,P-105,CLT-1002,2554.888,0.01469,0.00906,0.0,Bloomberg Global Aggregate
2023-05-31,P-105,CLT-1002,2494.899,-0.02348,-0.02839,-180.75,Bloomberg Global Aggregate
2023-06-30,P-105,CLT-1002,2400.887,-0.03768,-0.02983,0.0,Bloomberg Global Aggregate
2023-07-31,P-105,CLT-1002,2415.491,0.00608,-0.01321,0.0,Bloomberg Global Aggregate
2023-08-31,P-105,CLT-1002,2464.357,0.02023,0.01806,0.0,Bloomberg Global Aggregate
2023-09-30,P-105,CLT-1002,2449.19,-0.00615,-0.00247,0.0,Bloomberg Global Aggregate
2023-10-31,P-105,CLT-1002,2429.233,-0.00815,-0.01193,-49.99,Bloomberg Global Aggregate
2023-11-30,P-105,CLT-1002,2411.79,-0.00718,-0.01571,0.0,Bloomberg Global Aggregate
2023-12-31,P-105,CLT-1002,2383.116,-0.01189,-0.01655,0.0,Bloomberg Global Aggregate
2024-01-31,P-105,CLT-1002,2344.866,-0.01605,-0.03312,0.0,Bloomberg Global Aggregate
2024-02-29,P-105,CLT-1002,2316.775,-0.01198,-0.01949,0.0,Bloomberg Global Aggregate
